vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,11067040.01
INTERNATIONAL REPORTING AND TRANSCRIPTION,987584.25714285
RICOH,473717.50166666
ORACLE CANADA,397630.81
SAMSON & ASSOCIATES,345895.5
PATRY PROFESSIONAL CORPORATION,324875
NATTIQ,291393.1
COFORCE,277898.540000001
NORTHERN MICRO,269070.19
DONNA CONNA,235051.3
THE MASHA KRUPP TRANSLATION GROUP,200000
SOFTCHOICE,192745.37
INTERSOL,169500
COMPUCOM CANADA,162309.59
THOMSON CANADA CARSWELL,143112.24
WOLTERS KLUWER CCH,136675.99
SPIRIT STAFFING & CONSULTING,134549.1
TURTLE ISLAND STAFFING,127050.76
FREEBALANCE,125302.875
SAMSON & ASSOCIATES CPA/CONSULTING,120457.999999998
CONOSCENTI TECHNOLOGIES,109551.24
SIERRA SYSTEMS GROUP,104790.5
TELUS CANADA,98046.82
ARI FINANCIAL SERVICES,97048.02
STRATUM ASSOCIATES,91499
VMWARE,90148.825
RAYMOND CHABOT GRANT THORNTON,84750
ALTIS HUMAN RESOURCES,81410.215
DBDMK CONSULTANTS,79100
DARE HUMAN RESOURCES CORPORATION,75034
ASOKAN BUSINESS INTERIORS,74537.68
ENTRUST,74306.6
HEARTZAP SERVICES,72186.94
LMB INTERPRETATION SYSTEMS SERVICES,71422.46
CONEXSYS,66404.7725
MAXSYS STAFFING CONSULTING,60907
PSPC/CHRYSLER CANADA,60613.5
MOERAE SOLUTIONS MSICORP,59859.6
TELECOM COMPUTER SERVICES,53453.82
ROBIN COOKSEY,49999.9999999999
DESMOND HOWARD,49999.9999999998
JAMES L DOYLE,49999.9999999998
MISHKUMI TECHNOLOGIES,48133.27
LUCIDEA SYDNEYPLUS INTERNATIONAL LIBRARY SYSTEMS CORP,47090.49
QMR,46488.2
ERGOCENTRIC SEATING SYSTEMS,46038.3
FORESCOUT TECHNOLOGIES,45936.255
WAJAX POWER SYSTEMS,45697.425
CAZA SAIKALEY SRL/LLP,45652
LEXUM,45339.725
BIRD RICHARD,45200
RAYMOND CHABOT GRANT THORTON,43053
MICHEL BASTARACHE LAW CORP,42233.75
ADVANCED CHIPPEWA TECHNOLOGIES,39968.87
SYNERGY DATA,38821.15
JOHN DOHERTY,38333.3333333333
INTEGRA WORKS CORP,36327.29
ACCURATE SHELVING,35752.65
CYRIL LEEPER,35000
THOMSON REUTERS CANADA,34509.63
EDITH BROWN,33333.3333333332
AVI-SPL CANADA,31874.05
CARSWELL,31065.08
ALBERT E LAVOY,30000
SHRED-IT,28973.7
AON REED STENHOUSE,28509.885
RIDEAU RECOGNITION,28250
CHRYSLER CANADA,27809
INLAND AUDIO VISUAL,27529.96
FAIRFIELD INN & SUITES MARRIOT,26692.1
EXCEL HUMAN RESOURCES,26577.6
PURESPIRIT,25906.86
NISHA TECHONOLOGIES,25764
OSLER HOSKINS AND HARCOURT LLP,25000
MURRAY D SEGAL PROFESSIONAL CORPORATION,25000
ERNEST & YOUNG,25000
SHERATON HOTEL ST-JOHN S NFLD,25000
THE DELTA HOTEL ST-JOHN S NFLD,25000
DUNCAN FRASER,25000
DELOITTE AND TOUCHE,25000
NUA OFFICE,24968.95
WALTERS KLUWER,24726.095
LEARNING TREE INTERNATIONAL,24159.975
COOPERATIVE DU CEGEP MARE-VICTORIN,22995
DELL COMPUTER CORPORATION,22424.85
LEXIS NEXIS CANADA,20807.82
LANGUAGE RESEARCH DEVELOPMENT GROUP,20434.825
PHILIPPE BRUNEEL,20000
INFOTECH,18645
BORDEN LADNER GERVAIS,18150
G WATSON CYCLING COURIER,17185.68
STEPHAN COLWELL,16666.6666666668
IBM CANADA,16261
GLOBAL FUNITURE,15940.35
ARTWOODS,14990.42
GENESIS INTEGRATION,14916
WINDSTED,14784
CDW CANADA,14280.82
BRITTONS,13938.17
KONICA MINOLTA BUSINESS SOLUTIONS,13831.2
