vendor_normalized,sum_effective_value
TOTEM OFFISOURCE,814185.72
XEROX,809462.203571429
EXCEL HUMAN RESOURCES,642096.28
ARTEMP PERSONNEL SERVICES,638978.1
RENAUD EXPERTISE,511164.090000001
MAINLAND REPORTING SERVICES,432268.9
ALTIS HUMAN RESOURCES,430219.61
INTERNATIONAL REPORTING,412069
ESRI,388621.52
PHASELOCK SYSTEMS INTERNATIONAL,386481.89
LIONBRIDGE,380667.66
DONNA CONA,380180
HILL KNOWLTON STRATEGIES,331844.28
TRADULITECH,300000
LANNICK CONTRACT SOLUTIONS,284945
TK CANADA,254544.29
INTERNATIONAL SIMULTANEOUS TRANSLATION SERVICE,252455.53
CORADIX TECHNOLOGY CONSULTING,249000
AVW TELAV,237475.2
STRATOS,187793
DARE HUMAN RESOURCES,187203.75
ADVANCED BUSINESS INTERIORS,166644.44
JOHANNE GELINAS,160855.5
CNW GROUP,157320
NALY MANAGEMENT CONSULTING,154685
CEDROM SNI,151694.035
ROBERT HALF CANADA,149751.5
SOFTCHOICE,147245.06
6233902 CANADA,141968.75
CHASE OFFICE INTERIORS,135711.83
ESSA TECHNOLOGIES,135624.5
FOUNDATION OF ADMINISTRATIVE JUSTICE,134297
TEKNION,125355.84
PROCOM CONSULTANTS,112050
SPHERION,111750
175213 CANADA,107795.1
GENESIS INTEGRATION,102738.97
DOUGLAS HORSWILL,101700
RENEE PELLETIER,99440
THE ACCESS INFORMATION AGENCY,96678.56
GLOBAL UPHOLSTERY,96609.095
AURA ENVIRONMENTAL RESEARCH AND CONSULTING,95471
GOWLING WLG CANADA,93790
ITEX,93673.99
PRIVASOFT,93203.060000001
HUNT TEMPORARILY YOURS,92404.88
GROUPE INTERSOL GROUP,90400
ALLIANCE FRANCAISE DE VANCOUVER,90300
STANTEC,89908.34
170963 CANADA,89030
AV CANADA,87420.64
GOLDER ASSOCIATES,85751
ROBERT HALF MANAGEMENT RESOURCES,84150
CBCI TELECOM,83657.74
GATESTONE,80313.41
CANADIAN ENVIRONMENTAL NETWORK,78250.02
LOGIC 2000,73502.63
HARRINGTON STAFFING SERVICES,72623.26
CSDC SYSTEMS,68726.32
OPENTEXT,64392.5
OPEN STORAGE SOLUTIONS,61990.11
SUSSEX CIRCLE,61365
PORTAGE PERSONNEL,58280.93
SAMSON ASSOCIES,57200
THORNLEY FALLIS COMMUNICATIONS,54677.16
YVON GAUTHIER INFO TRAINING,54325
GH JOHNSONS FURNITURE,51908.25
INTERSOL GROUP,51867
LINDA LAURUS,51057.5
6761593 CANADA,50000.000000001
STENOTRAN SERVICES,48590
WWWSYNTERGYCOM,47760.44
SHILLINGTON BURNS CONSULTANTS,47609.53
GROUPE HEMISPHERES,47022.47
GA PACKMAN ASSOCIATES,46915
NORTHERN MICRO,45642.06
APS ANTIAN PROFESSIONAL SERVICES,44980
THE 500 STAFFING SERVICES,44744.7
IT SERVICES CANADA,44000
MICHAEL BOGUES,43513
ABCE LANGUAGE SCHOOL,43241.25
HONEYWELL,42783
PAUL POLLACK PERSONNEL,42169.1
ECOLE DE LANGUES ABCE,41440
TSILHQOTIN NATIONAL GOVERNMENT,40780.98
LANGUAGE RESEARCH DEVELOPMENT GROUP,40000
CISTEL TECHNOLOGY,37000
THE HUMAN ENVIRONMENT GROUP,35312.5
ECOLE DE LANGUES DE LESTRIE,34930
M LOUISE WOOD,34622
ALAN WINBERG CONSULTING,34465
BC CONSERVATION FOUNDATION,33573.25
UNIVERSITE SAINTE ANNE,32878.5
CANADIAN HELICOPTERS,32227.16
IRON MOUNTAIN CANADA,29490.33
SHARED VALUE SOLUTIONS,29218
QMR,28986.115
DUOCOM CANADA,28724.12
FIRELIGHT GROUP,27724.55
QUINTET CONSULTING,27025
