vendor_normalized,sum_effective_value
MICROSOFT CANADA,965331.15
DELOITTE AND TOUCHE,559340.44
SAMSON ASSOCIES CPA CONSULTATION,526715.70
KPMG,339423.74
PRICEWATERHOUSE COOPERS,291433.03
COLLINS BARROW OTTAWA,210074.07
RPDATA SOLUTIONS,162720.00
NISHA TECHONOLOGIES,139730.15
RAYMOND CHABOT GRANT THORNTON,133040.55
HYATT LAUREL A,111898.25
MARCIL LAVALLEE,109578.93
BDO CANADA,107110.40
SHARED SERVICES CANADA SSC,94680.68
ERNST YOUNG,84558.65
DELL COMPUTER,82242.27
CLARKE JEFFERY,59438.00
CHRYSLER CANADA,56637.30
BLOOMBERG,56220.09
HUNTER LITIGATION CHAMBERS LAW,51394.55
WATERWOOD COMMUNICATIONS,48872.50
HIGHER EDUCATION STRATEGY ASSOCIATES,48138.00
CISTEL TECHNOLOGY,43646.24
VERSATIL BPI,41067.88
CAPITA SECURE INFORMATION SOLUTIONS,39409.41
CORPORATE EXPRESS CANADA,37629.00
GEOLITHUM,33617.50
ANTHONY MACAULEY ASSOCIATES,33314.66
GH INFORMATICS SERVICES,32205.00
GARTNER,30645.60
KNOWLEDGE CIRCLE,30316.00
CONNELLY BUSINESS EXHIBITIONS,29832.00
MONSTER WORLDWIDE CANADA,28036.43
ADVIVUM,27873.33
CARON TRAINING CENTRE,27378.00
EMBARCADERO TECHNOLOGIES,25929.10
MNP,24973.00
GRAND TOY,24860.00
FOUR POINT SOLUTIONS,24860.00
TELUS CANADA,24803.97
RIOPELLE MARY MARGARET,24615.00
SYSTEMATIX SOLUTIONS,24577.51
ALAN W LESCHIED,24577.50
F X MASTERS,22868.50
SKYLINE OTTAWA,22059.28
SOLUTIONS MODEX,21424.80
SOFTCHOICE,21187.50
PLAIN WRITING SERVICES,20340.00
EBSCO CANADA,19035.44
WELCH CHARTERED ACCOUNTANTS,18562.96
GALE A PART OF CENGAGE LEARNING GROUP,16964.70
HART WILLIAM AVERY,16950.00
H3CREATIVE,16950.00
ST JOSEPH PRINT GROUP,14378.12
HUMAN POTENTIAL CONSULTANTS HPCI,14319.36
3059774 CANADA,14000.00
CANADOISE,13540.50
BELANGER CONSULTING,12806.67
JL RICHARDS ASSOCIATES,12236.10
SOLARWINDS,11656.30
ADVANCED BUSINESS INTERIORS,11300.00
ITEX,11298.87
CSAGOLY PAUL,11187.00
ECOLE DE LANGUES LA CITE,10546.80
RISK DYNAMIX,10504.48
GILLIAN SCOBIE EDITORIAL SERVICES,10297.13
AGB PARTNERS,10170.00
VANDER VEEN ANNEMARIE,10170.00
MACKINNON CHARLTON MANAGEMENT CONSULTANTS,10170.00
ORACLE CANADA,10018.59
BARNOTI ALINE,9040.00
ALI MUHAMMAD SHAFQAT,8838.00
ACMEFUTURE SECURITY CONTROLS,8475.00
BERKELEY PAYMENT SOLUTIONS,8475.00
C2 ENTERPRISE,8093.83
IPSS,8013.55
SERVICES PROFESSIONNELS DECRITURE ET DE COMMUNICATIONS ENR,7910.00
1101417 ONTARIO,7533.33
FOGLER RUBINOFF,7498.95
OSLER HOSKIN HARCOURT,7032.50
MINITEL COMMUNICATIONS,6796.05
DEVORTEX,6780.00
INFO TECH RESEARCH GROUP,6780.00
SOUTHSIDE COMMUNICATIONS,6780.00
L PAUL FRECHETTE CONSULTING SERVICES,6723.50
MAHONEY ANNE LOUISE,6568.13
SJ MANAGEMENT,6020.00
EDMOND MARIO,6017.25
CANADIAN AUDIT AND ACCOUNTABILITY FOUNDATION,5876.00
SCALAR DECISIONS,5833.73
CFN CONSULTANTS,5802.50
DOYLE CASSIE,5664.00
STRANDBERG CORO,5664.00
MARK H GOLDBERG ASSOCIATES,5661.25
1101417 ONTARIO AKA CAREERJOY,5650.00
DREXHAGE JOHN,5378.80
BRUCE C SLOAN CONSULTING GROUP,5296.88
METIVIER EDMEE,5270.00
YOUNG GRAHAM,5155.63
FENTON GORDON ASHLEY,5092.00
RIDEAU RECOGNITION SOLUTIONS,5085.00
