vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,283069883.069166
FORD MOTOR COMPAMY,256663564.36
MOTOROLA SOLUTIONS CANADA,221798668.60375
GENERAL MOTORS,161853281.415
PILATUS BUSINESS AIRCRAFT,129318040.125
BELL CANADA,85298027.2883857
IBM CANADA,84245198.9125001
MTS ALLSTREAM,80937362.6185192
HOLLAND AMERICA LINE,62093166.75
ADGA GROUP,51893233.3850001
TELUS CANADA,43209022.4996364
PANASONIC,43205087.8433333
GENERAL DYNAMICS,41708847.68
EXECUTIVE INN,40725464.566
HARRIS,40112950.195
FUJITSU,39612256.8
SHELL CANADA PRODUCTS,39022545.6600001
CGI,36391291.7016667
NISHA TECHONOLOGIES,35352239.13
PRATT WHITNEY CANADA,32419453.44
MINDWIRE SYSTEMS,30818560.255
CA CANADA COMPANY,30567234.525
M A COM PRIVATE RADIO SYSTEMS,25970740.795
SOFTCHOICE,25348122.375
DAIMLER,24747721.31
THE RECREATION ASSOCIATION,24521157.4628573
VERITAAQ TECHNOLOGY HOUSE,24058184.7899998
SI SYSTEMS,23858052.4025
LES DISTRIBUTEURS R NICHOLLS,23392672.6575
TELECOM COMPUTER SERVICES,22951406.9000001
GREYBACK CONSTRUCTION,21600358.23
NICHE TECHNOLOGY,21580136.1825
NISSAN CANADA,20755640.63
HYPERTEC,20629223.03
TOYOTA CANADA,20433073.435
MICROSOFT CANADA,19613070.69
ROCKWELL COLLINS CANADA,19535134.5200004
PICHE BROS CONTRACTING,18003619.9
GOVERNMENT OF THE NWT,17950000
GENESIS INTEGRATION,17661897.385
ORACLE CANADA,16077458.36
HONEYWELL,15895167.025
COLT CANADA,14996776.48
WATCHGUARD VIDEO,14733215.87
MEGA TECH,14307241.405
HYUNDAI AUTO CANADA,14164988.88
J C SULPHER CONSTRUCTION,14066043.6066666
BRAINHUNTER,13672210.5383333
BECC CONSTRUCTION GROUP,13172763.8499999
NOVELL CANADA,13168291.515
COSSETTE COMMUNICATIONS,13105809.55
CONSTRUCTION RIC9206INC,12923153.2
WESTRIDGE CONSTRUCTION,12776630.745
DELL COMPUTER,12593436.1866667
DALIAN ENTERPRISES,12558461.14
CHRYSLER CANADA,12509342.14
CDW CANADA,12505431.745
GRAHAM CONSTRUCTION,12465534.1400001
DAVTECH ANALYTICAL SERVICES,11833865.835
AIRBUS HELICOPTERS CANADA,11537685.005
SEPW ARCHITECTURE,10781272.5925
MAPLESOFT CONSULTING,10517946.545
PENN CONSTRUCTION CANADA2003LT,10420526.3633335
HEWLETT PACKARD,10413666.02
851980BC,10229884.68
IMPERIAL OIL,9853206.80333334
TERAMACH TECHNOLOGIES,9367472.36
THE CANADIAN CORPS OF,9202112.97
ROCKWELL COLLINS GOVERNMENT,9073758.75
NRNS,9000414.1716667
COGENT SYSTEMS,8997755.3007143
SUBARU CANADA,8904446.99999999
NEWTON ENTERPRISES,8799973.84749997
TIREE,8725999.82833333
DANIELS ELECTRONICS,8610232.89
LIFE TECHNOLOGIES,8492832.37666666
LSG CONSTRUCTION,8365480.98
M D CHARLTON,8138529.27
CHILLIWACK ECONOMIC PARTNERS,7811129.02951952
NORTHERN MICRO,7795864.825
CACHE COMPUTER CONSULTING,7760233.62666667
CONCERT REALTY SERVICES,7556228.91476192
OMSI401WGEORGIA,7165472.275
SMITH WESSON,7162575.81
FCA CANADA,7125045.595
GR GOEBEL PROFESSIONAL CORPORATIO,7042318.96
ISLAND WEST COAST DEVELOPMENTS,6957394.5
SUMMIT BROOKE CONSTRUCTION,6949668.5516667
TAURUS CONTRACTORS,6944751.41
XEROX,6875102.89333333
PILATUS CENTRE CANADA,6497198.31
TITAN INFLATABLES,6362624.57000002
V KELNER PILATUS CENTER,6318704.6
PCL CONSTRUCTORS,6287566.22
TURBOMECA CANADA,6284108.984
SECURITAS,6248116.28
MORPHO CANADA,6158173.68
JOHNSON CONTROLS CANADA,6121781.27666666
CML TECHNOLOGIES,6119967.07
APPAREL TRIMMINGS,6012537.61
